lon_round,lat_round,longitude,latitude,names,categories,sources,n_sources,contribution_score
-84.39787,33.79273,-84.39787149999998,33.7927258,Publix Super Market Atlantic Station,Grocery Store,gdf_selected,1,1310.7846176843152
-84.39793,33.79284,-84.39793,33.79284,PUBLIX 1010,Supermarket,snap_atlanta_df,1,1279.1176778069957
-84.38117,33.7705,-84.3811748,33.770495399999994,Publix Piedmont,Grocery Store,gdf_selected,1,1265.0759714671556
-84.38143,33.77254,-84.38143,33.77254,Chevron Food Mart  ,Convenience Store,snap_atlanta_df,1,1264.5789603991489
-84.39616,33.76516,-84.39616,33.76516,LUCKIE STREET GROCERY  ,Convenience Store,snap_atlanta_df,1,1261.6830891573309
-84.37325,33.84251,-84.37325,33.84251,Aldi 76001,Supermarket,snap_atlanta_df,1,1258.61300479832
-84.37324,33.84249,-84.37324,33.84249,CVS PHARMACY 5731,Combination Grocery/Other,snap_atlanta_df,1,1256.6145488113007
-84.37499,33.84095,-84.3749866,33.8409526,Trader Joe's Buckhead,Grocery Store,gdf_selected,1,1243.984299001744
-84.38112,33.84327,-84.381123103379,33.843267505915,LUCY'S MARKET,Grocery Store,df_grocery_selected,1,1239.804889000907
-84.37245,33.84091,-84.37244789999998,33.84091449999999,ALDI - Buckhead,Grocery Store,gdf_selected,1,1219.6910543122733
-84.37505,33.84133,-84.37505,33.84133,Trader Joe's 735,Supermarket,snap_atlanta_df,1,1214.180876835661
-84.38188,33.77022,-84.38188,33.77022,WALGREENS  6032,Combination Grocery/Other,snap_atlanta_df,1,1208.398463467365
-84.39929,33.79319,-84.39929,33.79319,Target Store T-2137  ,Super Store,snap_atlanta_df,1,1205.4670925013186
-84.39351,33.75782,-84.39351,33.75782,Castleberry Farmers Market 1,Farmers' Market,snap_atlanta_df,1,1202.8890215878591
-84.38606,33.7685,-84.3860644,33.7684962,Eat Right Atlanta - Emory Midtown,Mobile Food Market,gdf_selected,1,1166.8476081706876
-84.38307,33.83373,-84.38307,33.83373,Walgreens 09303,Combination Grocery/Other,snap_atlanta_df,1,1166.281741157911
-84.38286,33.83415,-84.3828587,33.83415339999999,Publix Super Market The Peach,Grocery Store,gdf_selected,1,1153.6228680119302
-84.39141,33.81195,-84.3914135,33.811948599999994,The Fresh Market PeachtreeRd,Grocery Store,gdf_selected,1,1139.070482577507
-84.40783,33.78424,-84.40783,33.78424,Lidl 1584,Super Store,snap_atlanta_df,1,1138.1146289614799
-84.38947,33.77065,-84.38947,33.77065,BP Gas Station  ,Convenience Store,snap_atlanta_df,1,1122.0968555611487
-84.40746,33.78188,-84.40746,33.78188,Best For Less  ,Convenience Store,snap_atlanta_df,1,1099.8341916503098
-84.37747,33.776,-84.3774678,33.7759962,L & M Market,Neighborhood Market,gdf_selected,1,1097.2967106353838
-84.3922,33.81193,-84.3922,33.81193,The Fresh Market 061,Supermarket,snap_atlanta_df,1,1087.3784942721775
-84.39797,33.78639,-84.39797,33.78639,Bp Food Mart  ,Convenience Store,snap_atlanta_df,1,1071.0536770199285
-84.36529,33.82217,-84.36529,33.82217,Kroger's 626,Super Store,snap_atlanta_df,1,1063.7907792781025
-84.40804,33.78141,-84.40804,33.78141,QuikTrip 805,Convenience Store,snap_atlanta_df,1,1058.4773991137472
-84.37167,33.76454,-84.37167,33.76454,Boulevard Lotto Grocery  ,Convenience Store,snap_atlanta_df,1,1051.5580169063855
-84.39163,33.81574,-84.3916280999999,33.8157417,Peachtree Senior Tower (lihtc),Garden,gdf_selected,1,1051.3997344424117
-84.40933,33.77874,-84.409327620831,33.778740094872,ARDEN GARDEN,Grocery Store,df_grocery_selected,1,1049.7902020087768
-84.36439,33.77137,-84.3643877,33.7713701,Signal House,Garden,gdf_selected,1,1036.9685051612641
-84.37174,33.77097,-84.37174,33.77097,North Avenue Food Mart  ,Convenience Store,snap_atlanta_df,1,1029.231705192045
-84.3877,33.79609,-84.3877,33.79609,Uptown Station Inc  ,Convenience Store,snap_atlanta_df,1,1021.3852691823051
-84.38109,33.75558,-84.38109,33.75558,Sweet Auburn Grocery  ,Convenience Store,snap_atlanta_df,1,1001.8917131924015
-84.39068,33.75622,-84.39068,33.75622,Walton Food Mart  ,Convenience Store,snap_atlanta_df,1,992.7538492602281
-84.36835,33.83662,-84.36835,33.83662,BP Food Mart  ,Convenience Store,snap_atlanta_df,1,974.1479465250331
-84.36587,33.82271,-84.3658698999999,33.822712499999994,Kroger Lindbergh,Grocery Store,gdf_selected,1,971.3517698170737
-84.36595,33.80663,-84.365952,33.806627899999995,Sprouts Farmers Market,Grocery Store,gdf_selected,1,968.3615656870455
-84.37013,33.75209,-84.370127387517,33.752091635834,"Midtown Pantry, LLC",Grocery Store,df_grocery_selected,1,967.6171268895038
-84.46102,33.78498,-84.46102,33.78498,B And E Food Mart  ,Convenience Store,snap_atlanta_df,1,958.9586975569001
-84.36698,33.82235,-84.36697549999998,33.822353,Fiesta Foods,Neighborhood Market,gdf_selected,1,950.1716912134385
-84.37828,33.7496,-84.37828,33.7496,Intown Market  ,Convenience Store,snap_atlanta_df,1,943.2523689779224
-84.39397,33.80648,-84.39397,33.80648,Shell Food Mart  ,Convenience Store,snap_atlanta_df,1,942.606265595598
-84.41317,33.80671,-84.41317,33.80671,Shell Food Mart  ,Convenience Store,snap_atlanta_df,1,941.3026035516201
-84.4071,33.78587,-84.4071,33.78587,Market at 14th Shell  ,Convenience Store,snap_atlanta_df,1,940.3779606800554
-84.36253,33.82568,-84.36253,33.82568,QUIKTRIP 744,Convenience Store,snap_atlanta_df,1,935.7379643302826
-84.36692,33.82326,-84.36692,33.82326,Chevron Buckhead  ,Convenience Store,snap_atlanta_df,1,934.3434246253476
-84.3631,33.82375,-84.36310089999989,33.82374979999999,Target PiedmontLinPlaza,Supercenter,gdf_selected,1,930.3212129714824
-84.39043,33.75517,-84.39043,33.75517,Gateway Newstand  ,Convenience Store,snap_atlanta_df,1,924.6209221508458
-84.37123,33.77388,-84.37123,33.77388,Shell Food Mart  ,Convenience Store,snap_atlanta_df,1,923.561925749402
-84.36602,33.77335,-84.36602,33.77335,Ponce City Farmers Market  ,Farmers' Market,snap_atlanta_df,1,921.8590576814411
-84.39307,33.80797,-84.39307,33.80797,CVS PHARMACY 2082,Combination Grocery/Other,snap_atlanta_df,1,910.8350239913451
-84.36352,33.7717,-84.3635202999999,33.7717048,Kroger Ponce,Grocery Store,gdf_selected,1,904.8546788433523
-84.37466,33.75465,-84.37466,33.75465,Edgewood Foodmart Inc.  ,Convenience Store,snap_atlanta_df,1,900.1428199074294
-84.3631,33.82449,-84.3631,33.82449,TARGET STORE T-2171  ,Super Store,snap_atlanta_df,1,892.145163642636
-84.37991,33.75402,-84.37991399999999,33.7540215,The Municipal Market- Sweet Auburn,Neighborhood Market,gdf_selected,1,889.6442240842788
-84.38726,33.82976,-84.38726,33.82976,PEACHTREE ROAD FARMERS MARKET  ,Farmers' Market,snap_atlanta_df,1,889.3648574052851
-84.38001,33.75436,-84.38001,33.75436,Parks Meat Market Llc Dba Country Meat Market  ,Meat/Poultry Specialty,snap_atlanta_df,1,884.651221459133
-84.38739,33.8303,-84.38738779999998,33.8302972,Peachtree Rd Farmers Market,Farmers Market,gdf_selected,1,884.5012628464218
-84.38001,33.75437,-84.38001,33.75437,Atlantic Seafood  ,Seafood Specialty,snap_atlanta_df,1,883.9034329495857
-84.37988,33.75405,-84.37988,33.75405,"City Produce   | Garden Market ATL  | Market Pharmacy, Inc   | Porky Pig Market Company   | SH PRODUCE-MARKET LLC | SH Produce   | Yunny LLC",Combination Grocery/Other | Convenience Store | Fruits/Veg Specialty | Grocery Store | Meat/Poultry Specialty | Medium Grocery Store,df_grocery_selected | snap_atlanta_df,2,881.1904098996074
-84.38767,33.82011,-84.38767,33.82011,PUBLIX  0719,Supermarket,snap_atlanta_df,1,874.801997814238
-84.3799,33.75437,-84.3799,33.75437,D & J Market  ,Meat/Poultry Specialty,snap_atlanta_df,1,871.6005686651412
-84.42609,33.81227,-84.42608819999998,33.81226949999999,Herbs & Kettles (Noble Roots Urban Garden),Farm,gdf_selected,1,871.3445748767889
-84.36479,33.77337,-84.36479,33.77337,CVS PHARMACY 3878,Combination Grocery/Other,snap_atlanta_df,1,870.766238416351
-84.40501,33.76983,-84.40501,33.76983,Benz Food Mart  ,Convenience Store,snap_atlanta_df,1,869.7929784093187
-84.37501,33.7542,-84.37501,33.7542,Goodr Community Market On Edgewood  ,Convenience Store,snap_atlanta_df,1,864.716931741501
-84.38369,33.75466,-84.38369,33.75466,K Stop  ,Convenience Store,snap_atlanta_df,1,853.8954339752702
-84.38933,33.75433,-84.38933,33.75433,Azalea Fresh Market  ,Supermarket,snap_atlanta_df,1,853.280756030684
-84.38654,33.81977,-84.38654,33.81977,Walgreens 19047,Combination Grocery/Other,snap_atlanta_df,1,850.7159853348655
-84.41425,33.77283,-84.41425,33.77283,Family Dollar 6501,Combination Grocery/Other,snap_atlanta_df,1,849.7970871719408
-84.36848,33.81037,-84.36848,33.81037,Monroe Drive Chevron  ,Convenience Store,snap_atlanta_df,1,847.1902342294703
-84.38853,33.81951,-84.3885349,33.8195099,Publix Peachtree Battle,Grocery Store,gdf_selected,1,846.4123457180898
-84.41076,33.77283,-84.41076,33.77283,Bp Food Mart  ,Convenience Store,snap_atlanta_df,1,844.6046881271599
-84.42575,33.81161,-84.42575,33.81161,Ez Market  ,Convenience Store,snap_atlanta_df,1,844.2525748013622
-84.38271,33.85471,-84.38271,33.85471,Walgreens 10422,Combination Grocery/Other,snap_atlanta_df,1,843.8552688484714
-84.36599,33.77465,-84.36598839999989,33.7746531,Whole Foods Ponce,Grocery Store,gdf_selected,1,833.786534808821
-84.38136,33.85747,-84.381360646515,33.857470515118,ARDEN'S GARDEN,Grocery Store,df_grocery_selected,1,829.5407690164834
-84.41144,33.80348,-84.41143929999998,33.8034755,Walmart Howell Mill,Supercenter,gdf_selected,1,827.0788576591906
-84.40576,33.77381,-84.40576,33.77381,Tech Shop & Run  ,Convenience Store,snap_atlanta_df,1,822.4598415572806
-84.36327,33.77367,-84.36327,33.77367,Kroger 695,Super Store,snap_atlanta_df,1,818.9144605483401
-84.36922,33.77918,-84.36922189999999,33.779183599999996,Trader Joe's Monroe,Grocery Store,gdf_selected,1,816.7613469518925
-84.37241,33.81176,-84.37241,33.81176,Plaster Shell & Food  ,Convenience Store,snap_atlanta_df,1,815.5157044694844
-84.41474,33.81021,-84.41474079999992,33.8102137,Publix Super Market Howell Mill Village,Grocery Store,gdf_selected,1,814.2685747106566
-84.36343,33.77437,-84.3634349,33.77437449999999,Ponix Farm,Farm,gdf_selected,1,810.196059664818
-84.3917,33.75399,-84.391697,33.7539909,MARTA Market - Five Points Fresh,Farmers Market,gdf_selected,1,810.0878243459148
-84.36789,33.74922,-84.36789249999998,33.7492211,Little's Food Store,Neighborhood Market,gdf_selected,1,806.1574036954818
-84.35902,33.77443,-84.359016839582,33.774426851317,ARABI 2015 INC,Grocery Store,df_grocery_selected,1,794.6379331259961
-84.36763,33.77993,-84.36763,33.77993,Trader Joe's 730,Supermarket,snap_atlanta_df,1,789.4003457522774
-84.35784,33.76235,-84.3578402,33.7623486,Savi Provisions,Neighborhood Market,gdf_selected,1,778.5645095090208
-84.35698,33.7451,-84.3569844,33.7451036,Publix Madison Yards,Grocery Store,gdf_selected,1,776.0733353231243
-84.35782,33.76234,-84.357819149437,33.762340356485,"MSTD Management, LLC",Grocery Store,df_grocery_selected,1,775.9217935049408
-84.37944,33.74678,-84.37944,33.74678,Bp Food Mart 0,Convenience Store,snap_atlanta_df,1,775.693879768132
-84.36836,33.78142,-84.36836279999999,33.7814205,Midtown Butcher Shop,Neighborhood Market,gdf_selected,1,774.1762042740506
-84.37192,33.80102,-84.37192,33.80102,KROGER  298,Super Store,snap_atlanta_df,1,765.632211361656
-84.41275,33.81024,-84.41275,33.81024,PUBLIX 1119 | Walgreens 17037,Combination Grocery/Other | Supermarket,snap_atlanta_df,1,762.7969845473438
-84.41361,33.77025,-84.413612617372,33.770252160621,MORGAN'S GROCERY,Grocery Store,df_grocery_selected,1,761.773627712037
-84.41432,33.80116,-84.4143189,33.8011648,Kroger Howell Mill,Grocery Store,gdf_selected,1,759.1791471684809
-84.38301,33.85614,-84.38301,33.85614,Buckhead Shoppe  ,Convenience Store,snap_atlanta_df,1,756.46461493187
-84.40256,33.75269,-84.40256,33.75269,Northside Food Mart  ,Convenience Store,snap_atlanta_df,1,753.1407549306193
-84.41458,33.80353,-84.41458,33.80353,Shell Food Mart  ,Convenience Store,snap_atlanta_df,1,743.6743126934348
-84.41372,33.79438,-84.41371699999989,33.79437999999999,Floral Park Market,Neighborhood Market,gdf_selected,1,734.8819302893377
-84.3575,33.81162,-84.35749946365,33.811617774801,JC Tropical Market,Grocery Store,df_grocery_selected,1,728.3980001139311
-84.41556,33.80137,-84.41556,33.80137,KROGER  346,Super Store,snap_atlanta_df,1,726.4623993181439
-84.36977,33.78851,-84.36977470000001,33.788510599999995,Sean's Harvest Market,Neighborhood Market,gdf_selected,1,725.207056681465
-84.36623,33.809,-84.36623,33.809,Circle K #251  ,Convenience Store,snap_atlanta_df,1,721.5311727944957
-84.37284,33.80076,-84.37283919999999,33.800756400000004,Kroger Ansley Mall,Grocery Store,gdf_selected,1,720.2300783708222
-84.416,33.79989,-84.416,33.79989,Quik Trip 0832,Convenience Store,snap_atlanta_df,1,716.2877537690148
-84.41409,33.75539,-84.41409,33.75539,Walmart 7601,Super Store,snap_atlanta_df,1,711.9943443008391
-84.40644,33.74633,-84.40644,33.74633,Northside Texaco  ,Convenience Store,snap_atlanta_df,1,711.0852952177224
-84.35445,33.77287,-84.3544514,33.772873999999995,Publix Super Market Ponce,Grocery Store,gdf_selected,1,708.0598539659819
-84.35439,33.77287,-84.35439,33.77287,PUBLIX  0724,Supermarket,snap_atlanta_df,1,707.3443895897168
-84.37146,33.79792,-84.37145509999989,33.7979202,Publix Super Market Ansley Mall,Grocery Store,gdf_selected,1,703.5479489390568
-84.35216,33.81617,-84.35216,33.81617,Quick Mart  ,Convenience Store,snap_atlanta_df,1,701.1737359590335
-84.4115,33.76349,-84.4115,33.76349,Shoppers Supermarket  ,Convenience Store,snap_atlanta_df,1,698.647986438605
-84.38319,33.75134,-84.3831934999999,33.75133699999999,Jesse Hill Marker -Grady Food Pharmacy,Neighborhood Market,gdf_selected,1,695.2427018937227
-84.41685,33.7727,-84.41685,33.7727,Bankhead Shell  ,Convenience Store,snap_atlanta_df,1,694.9682701139499
-84.36784,33.80574,-84.367844995283,33.805739001281,Mawa African market LLC,Grocery Store,df_grocery_selected,1,691.5062731729829
-84.3696,33.79646,-84.3696,33.79646,Publix 599,Supermarket,snap_atlanta_df,1,689.5248767956369
-84.40408,33.75037,-84.40408,33.75037,Flowers Bakery Outlet 144,Convenience Store,snap_atlanta_df,1,688.5067227489392
-84.36688,33.80624,-84.36688,33.80624,Sprouts Farmers Market 519,Supermarket,snap_atlanta_df,1,688.1468747438303
-84.37083,33.74615,-84.37083,33.74615,Grant Park Market  ,Combination Grocery/Other,snap_atlanta_df,1,685.3544221694028
-84.35724,33.76743,-84.35724459999999,33.7674332,Freedom Farmers Market,Farmers Market,gdf_selected,1,683.5725166370808
-84.43824,33.81013,-84.43824,33.81013,Shell Food Mart  ,Convenience Store,snap_atlanta_df,1,681.6693890189908
-84.41739,33.76859,-84.41739,33.76859,Lowery Food Mart  ,Convenience Store,snap_atlanta_df,1,681.4372534930108
-84.37075,33.74666,-84.37074600522348,33.74665842019531,Grant Park Market,Neighborhood Market,gdf_selected,1,681.147024769754
-84.44957,33.81941,-84.4495743,33.8194051,Publix Moores Mill Center,Grocery Store,gdf_selected,1,679.4929320457363
-84.41756,33.75859,-84.41756,33.75859,Neighbors Market N/A,Convenience Store,snap_atlanta_df,1,678.7724690453514
-84.35142,33.81816,-84.35142,33.81816,AAA 2317 Inc  ,Convenience Store,snap_atlanta_df,1,678.5165983114799
-84.42568,33.76382,-84.42568,33.76382,Henrys Pack N Sack  ,Convenience Store,snap_atlanta_df,1,673.1019911421456
-84.36096,33.74033,-84.36096,33.74033,Kroger 672,Super Store,snap_atlanta_df,1,672.7888418926401
-84.41784,33.77236,-84.41784,33.77236,Lowery Food Mart N/A,Convenience Store,snap_atlanta_df,1,670.937711391532
-84.35275,33.77817,-84.35275,33.77817,CVS Pharmacy 4604,Combination Grocery/Other,snap_atlanta_df,1,669.7373198079149
-84.35674,33.74654,-84.35674,33.74654,Publix 1647,Supermarket,snap_atlanta_df,1,665.1123917885843
-84.3967,33.74924,-84.39670199999989,33.749245,5 Points Community Garden,AgLanta Grows-A-Lot Site (legacy),gdf_selected,1,657.791716932147
-84.35292,33.81438,-84.35292,33.81438,Mercado Acapulco Llc  ,Medium Grocery Store,snap_atlanta_df,1,657.2818545609193
-84.35291,33.8144,-84.35291329999998,33.81440200000001,Mercado Acapulco Y Taqueria,Neighborhood Market,gdf_selected,1,657.1346675694715
-84.41774,33.76322,-84.41774,33.76322,GX Market  ,Convenience Store,snap_atlanta_df,1,654.528178546415
-84.41772,33.76379,-84.41772,33.76379,Chevron Food Mart 0,Convenience Store,snap_atlanta_df,1,653.3550849719985
-84.39417,33.74907,-84.39417,33.74907,BK Food Mart  ,Convenience Store,snap_atlanta_df,1,650.5191519282611
-84.3602,33.74235,-84.3601955,33.7423496,Kroger Glenwood Place,Grocery Store,gdf_selected,1,649.4074402245061
-84.37975,33.7444,-84.37975,33.7444,Hill Street Shell  ,Convenience Store,snap_atlanta_df,1,647.9758434717405
-84.41881,33.77525,-84.41881,33.77525,Retaaza 1 | The MARTA Markets  ,Delivery Route,snap_atlanta_df,1,642.674373788254
-84.35139,33.81895,-84.35139,33.81895,Publix 1044,Supermarket,snap_atlanta_df,1,642.5962038611493
-84.35585,33.76834,-84.35585,33.76834,Freedom Farmers' Market  ,Farmers' Market,snap_atlanta_df,1,641.7395600699953
-84.40737,33.75269,-84.40737057209789,33.75268929375749,Goodr at APS Services Hub,Emergency Food Relief,gdf_selected,1,629.4151336821773
-84.38773,33.73945,-84.38773,33.73945,Publix Super Market 1825,Supermarket,snap_atlanta_df,1,629.3584968854501
-84.44987,33.81853,-84.44987,33.81853,Publix 1226,Supermarket,snap_atlanta_df,1,626.1229357321458
-84.39793,33.74109,-84.39793,33.74109,Windsor Supermarket  ,Convenience Store,snap_atlanta_df,1,624.7261305220064
-84.4269,33.80076,-84.4269,33.80076,Gas Express LLC dba Circle K 134,Convenience Store,snap_atlanta_df,1,619.3383593999769
-84.42735,33.78603,-84.42735,33.78603,Chevron Food Mart  ,Convenience Store,snap_atlanta_df,1,619.1131314723364
-84.38713,33.73908,-84.3871346,33.7390788,Publix Super Market Summerhill,Grocery Store,gdf_selected,1,617.5830332136741
-84.4206,33.7736,-84.42060499999998,33.773600200000004,The Farm at Good Sam (Health Center) | The Market at Good Sam (Health Center),Farm | Farmers Market,gdf_selected,1,617.056497533004
-84.38706,33.73885,-84.387062184693,33.738851036755,"Publix Super Markets, Inc.",Grocery Store,df_grocery_selected,1,616.5776622804403
-84.42075,33.77322,-84.42075,33.77322,Good Sam Market  ,Farmers' Market,snap_atlanta_df,1,614.6969682762333
-84.38424,33.73936,-84.38423550000002,33.7393561,JD Summerhill Variety Deli,Neighborhood Market,gdf_selected,1,613.4643469089411
-84.38425,33.73933,-84.38425,33.73933,Jds Summerhill Variety Deli  ,Convenience Store,snap_atlanta_df,1,612.9443825651666
-84.36865,33.74458,-84.36865,33.74458,CHEVRON FOOD MART  ,Convenience Store,snap_atlanta_df,1,610.2686688859527
-84.40335,33.7434,-84.40335,33.7434,Whitehall Shell  ,Convenience Store,snap_atlanta_df,1,609.6860863152478
-84.40078,33.73896,-84.4007759,33.738957,Whitehall Terrace Community Garden,AgLanta Grows-A-Lot Site,gdf_selected,1,601.140120918359
-84.41756,33.74567,-84.41756,33.74567,Gas Express LLC dba Circle K 153,Convenience Store,snap_atlanta_df,1,598.4484566485057
-84.3539,33.78214,-84.35389679999999,33.78213559999998,Virginia Highland District Community Farmers Market,Farmers Market,gdf_selected,1,598.1254642817935
-84.35381,33.78225,-84.35381,33.78225,Kinship Butcher Sundry  ,Meat/Poultry Specialty,snap_atlanta_df,1,595.690604131849
-84.35462,33.78322,-84.35462429999998,33.78321789999999,Tuscany at Your Table,Neighborhood Market,gdf_selected,1,591.4011634967301
-84.35427,33.78247,-84.35427,33.78247,Virginia Highland Farmers Market  ,Farmers' Market,snap_atlanta_df,1,588.9585950998236
-84.34935,33.77381,-84.34935,33.77381,Jena Investment Inc  ,Convenience Store,snap_atlanta_df,1,586.495083543033
-84.35625,33.79349,-84.35625,33.79349,Morningside Farmers Market  ,Farmers' Market,snap_atlanta_df,1,584.9910848854009
-84.43336,33.76331,-84.43336,33.76331,Pick N Pay  ,Convenience Store,snap_atlanta_df,1,584.6629423197977
-84.36404,33.72752,-84.36404,33.72752,C & S MEAT CO  ,Meat/Poultry Specialty,snap_atlanta_df,1,582.287522992725
-84.38766,33.73204,-84.387655204343,33.732038603039,"HANK AARON GROCERY, LLC",Grocery Store,df_grocery_selected,1,582.286022408522
-84.35562,33.75154,-84.35562029999998,33.75153709999999,Reynoldstown Farmers Market,Farmers Market,gdf_selected,1,581.9246601643413
-84.47213,33.78966,-84.4721251,33.7896593,Rolling Bends aka Woodland Heights (lihtc),Garden,gdf_selected,1,579.8376059483415
-84.34904,33.81856,-84.3490382999999,33.8185617,Publix Cheshire Sq,Grocery Store,gdf_selected,1,578.634955671083
-84.35529,33.75153,-84.35529,33.75153,Reynoldstown Farmers Market  ,Farmers' Market,snap_atlanta_df,1,577.7933342618409
-84.36774,33.74216,-84.36774,33.74216,448 QM LLC  ,Convenience Store,snap_atlanta_df,1,573.4266974617079
-84.40221,33.73236,-84.4022052,33.73236049999999,Pyramid Grocery,Neighborhood Market,gdf_selected,1,570.8017100178456
-84.39846,33.73799,-84.39846,33.73799,Mami Grocery & Deli  ,Small Grocery Store,snap_atlanta_df,1,570.0911408443042
-84.38832,33.73034,-84.38832,33.73034,Discount Food Mart  ,Convenience Store,snap_atlanta_df,1,569.9015151321242
-84.45174,33.76487,-84.45174,33.76487,Ak Food Store  ,Convenience Store,snap_atlanta_df,1,566.6083819168522
-84.38324,33.72712,-84.38324,33.72712,Father And Son Superette  ,Convenience Store,snap_atlanta_df,1,563.505657685558
-84.36813,33.7405,-84.36813,33.7405,CVS Pharmacy 7336,Combination Grocery/Other,snap_atlanta_df,1,559.5703936223624
-84.51034,33.74091,-84.51034,33.74091,490 Fairburn Rd Llc 0,Convenience Store,snap_atlanta_df,1,552.5944953778235
-84.36786,33.739,-84.3678616999999,33.7390046,Bennett's Market and Deli,Neighborhood Market,gdf_selected,1,551.8632987696275
-84.35229,33.7922,-84.3522948,33.7921966,Morningside Farmers Market,Farmers Market,gdf_selected,1,547.6844212263004
-84.45002,33.82063,-84.45002,33.82063,Carniceria Ramirez  ,Medium Grocery Store,snap_atlanta_df,1,545.534113384929
-84.39379,33.73656,-84.39379,33.73656,Abernathy Bp  ,Convenience Store,snap_atlanta_df,1,542.7554253974316
-84.40173,33.7323,-84.40173,33.7323,Pyramid  ,Convenience Store,snap_atlanta_df,1,539.1867501695862
-84.4361,33.80174,-84.4361,33.80174,Gas Express LLC dba Circle K 164,Convenience Store,snap_atlanta_df,1,537.4583630232106
-84.4086,33.74176,-84.4086,33.74176,Whitehall Exxon  ,Convenience Store,snap_atlanta_df,1,535.1956555169232
-84.37704,33.72505,-84.3770394,33.7250514,Grant Park Community Farmers Market,Farmers Market,gdf_selected,1,533.443208230589
-84.3681,33.73709,-84.3681,33.73709,Grant Park Farmers Market  ,Farmers' Market,snap_atlanta_df,1,533.3466193522497
-84.40439,33.73632,-84.40439,33.73632,Community Kitchen N Pantry  ,Convenience Store,snap_atlanta_df,1,532.7873898332653
-84.44985,33.8216,-84.44985,33.8216,Food Mart 0,Convenience Store,snap_atlanta_df,1,532.2769494381389
-84.43398,33.77064,-84.43398,33.77064,Big A Food Mart  ,Convenience Store,snap_atlanta_df,1,529.8836736241776
-84.40781,33.74001,-84.40781,33.74001,Chevron Food Mart  ,Convenience Store,snap_atlanta_df,1,529.3589226727673
-84.43346,33.77112,-84.43346,33.77112,Chappell Road Inc  ,Convenience Store,snap_atlanta_df,1,525.8957372253346
-84.381,33.87148,-84.381,33.87148,Publix 0718,Supermarket,snap_atlanta_df,1,525.4772462085119
-84.42372,33.74262,-84.4237205,33.74261859999999,Atlanta Good shepard Agro-ecology,Farm,gdf_selected,1,524.3741502665501
-84.41772,33.73953,-84.41772,33.73953,Family Dollar 6509,Combination Grocery/Other,snap_atlanta_df,1,523.6933565131226
